,lattitude,longitude,Mon Oct  4 09:02:29 2021,Mon Oct  4 09:03:35 2021,Mon Oct  4 09:04:40 2021,Mon Oct  4 09:05:44 2021,Mon Oct  4 09:06:49 2021,Mon Oct  4 09:07:54 2021,Mon Oct  4 09:08:58 2021,Mon Oct  4 09:10:03 2021,Mon Oct  4 09:11:08 2021,Mon Oct  4 09:12:12 2021,Mon Oct  4 09:13:16 2021,Mon Oct  4 09:14:20 2021,Mon Oct  4 09:15:25 2021,Mon Oct  4 09:16:30 2021,Mon Oct  4 09:17:34 2021,Mon Oct  4 09:18:38 2021,Mon Oct  4 09:19:42 2021,Mon Oct  4 09:20:46 2021,Mon Oct  4 09:21:51 2021,Mon Oct  4 09:22:57 2021,Mon Oct  4 09:24:01 2021,Mon Oct  4 09:25:05 2021,Mon Oct  4 09:26:09 2021,Mon Oct  4 09:27:12 2021,Mon Oct  4 09:28:17 2021,Mon Oct  4 09:29:22 2021,Mon Oct  4 09:30:26 2021,Mon Oct  4 09:31:30 2021,Mon Oct  4 09:32:33 2021,Mon Oct  4 09:33:37 2021,Mon Oct  4 09:34:41 2021,Mon Oct  4 09:35:45 2021,Mon Oct  4 09:36:49 2021,Mon Oct  4 09:37:53 2021,Mon Oct  4 09:38:57 2021,Mon Oct  4 09:40:02 2021,Mon Oct  4 09:41:05 2021,Mon Oct  4 09:42:10 2021,Mon Oct  4 09:43:15 2021,Mon Oct  4 09:44:19 2021,Mon Oct  4 09:45:23 2021,Mon Oct  4 09:46:27 2021,Mon Oct  4 09:47:31 2021,Mon Oct  4 09:48:34 2021,Mon Oct  4 09:49:38 2021,Mon Oct  4 09:50:43 2021,Mon Oct  4 09:51:47 2021,Mon Oct  4 09:52:51 2021,Mon Oct  4 09:53:55 2021,Mon Oct  4 09:55:01 2021,Mon Oct  4 09:56:05 2021,Mon Oct  4 09:57:10 2021,Mon Oct  4 09:58:14 2021,Mon Oct  4 09:59:18 2021,Mon Oct  4 10:00:23 2021,Mon Oct  4 10:01:27 2021,Mon Oct  4 10:02:31 2021,Mon Oct  4 10:03:35 2021,Mon Oct  4 10:04:39 2021,Mon Oct  4 10:05:43 2021,Mon Oct  4 10:06:47 2021,Mon Oct  4 10:07:52 2021,Mon Oct  4 10:08:56 2021,Mon Oct  4 10:10:00 2021,Mon Oct  4 10:11:05 2021,Mon Oct  4 10:12:09 2021,Mon Oct  4 10:13:13 2021,Mon Oct  4 10:14:19 2021,Mon Oct  4 10:15:24 2021,Mon Oct  4 10:16:30 2021
Oglesby Ave & 100th St,41.713397,-87.565841,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Oglesby Ave & 100th St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Oglesby Ave & 100th St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Oglesby Ave & 100th St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Oglesby Ave & 100th St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Oglesby Ave & 100th St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Oglesby Ave & 100th St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Oglesby Ave & 100th St, dtype: int64"
Cottage Grove Ave & 111th Pl,41.691709,-87.610001,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Cottage Grove Ave & 111th Pl, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Cottage Grove Ave & 111th Pl, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Cottage Grove Ave & 111th Pl, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Cottage Grove Ave & 111th Pl, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Cottage Grove Ave & 111th Pl, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Cottage Grove Ave & 111th Pl, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Cottage Grove Ave & 111th Pl, dtype: int64"
Vernon Ave & 107th St,41.700121,-87.612259,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Vernon Ave & 107th St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Vernon Ave & 107th St, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Vernon Ave & 107th St, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Vernon Ave & 107th St, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Vernon Ave & 107th St, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Vernon Ave & 107th St, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Vernon Ave & 107th St, dtype: int64"
Halsted St & 96th St,41.719712,-87.643019,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Mon Oct  4 10:10:00 2021    5
Name: Halsted St & 96th St, dtype: int64","Mon Oct  4 10:11:05 2021    5
Name: Halsted St & 96th St, dtype: int64","Mon Oct  4 10:12:09 2021    5
Name: Halsted St & 96th St, dtype: int64","Mon Oct  4 10:13:13 2021    5
Name: Halsted St & 96th St, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: Halsted St & 96th St, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: Halsted St & 96th St, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: Halsted St & 96th St, dtype: int64"
Constance Ave & 95th St,41.72229,-87.578968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Constance Ave & 95th St, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Constance Ave & 95th St, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Constance Ave & 95th St, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Constance Ave & 95th St, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Constance Ave & 95th St, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Constance Ave & 95th St, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Constance Ave & 95th St, dtype: int64"
Greenwood Ave & 91st St,41.728264,-87.597298,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Greenwood Ave & 91st St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Greenwood Ave & 91st St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Greenwood Ave & 91st St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Greenwood Ave & 91st St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Greenwood Ave & 91st St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Greenwood Ave & 91st St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Greenwood Ave & 91st St, dtype: int64"
Greenwood Ave & 97th St,41.718703,-87.597035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Greenwood Ave & 97th St, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Greenwood Ave & 97th St, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Greenwood Ave & 97th St, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Greenwood Ave & 97th St, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Greenwood Ave & 97th St, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Greenwood Ave & 97th St, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Greenwood Ave & 97th St, dtype: int64"
Avenue O & 134th St,41.651867,-87.539671,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Avenue O & 134th St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Avenue O & 134th St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Avenue O & 134th St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Avenue O & 134th St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Avenue O & 134th St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Avenue O & 134th St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Avenue O & 134th St, dtype: int64"
Stony Island Ave & 90th St,41.731394,-87.585743,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,"Mon Oct  4 10:10:00 2021    9
Name: Stony Island Ave & 90th St, dtype: int64","Mon Oct  4 10:11:05 2021    9
Name: Stony Island Ave & 90th St, dtype: int64","Mon Oct  4 10:12:09 2021    9
Name: Stony Island Ave & 90th St, dtype: int64","Mon Oct  4 10:13:13 2021    9
Name: Stony Island Ave & 90th St, dtype: int64","Mon Oct  4 10:14:19 2021    9
Name: Stony Island Ave & 90th St, dtype: int64","Mon Oct  4 10:15:24 2021    9
Name: Stony Island Ave & 90th St, dtype: int64","Mon Oct  4 10:16:30 2021    9
Name: Stony Island Ave & 90th St, dtype: int64"
Dauphin Ave & 87th St,41.736559,-87.601257,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Dauphin Ave & 87th St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Dauphin Ave & 87th St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Dauphin Ave & 87th St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Dauphin Ave & 87th St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Dauphin Ave & 87th St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Dauphin Ave & 87th St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Dauphin Ave & 87th St, dtype: int64"
Torrence Ave & 106th St,41.7028,-87.559726,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Torrence Ave & 106th St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Torrence Ave & 106th St, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Torrence Ave & 106th St, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Torrence Ave & 106th St, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Torrence Ave & 106th St, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Torrence Ave & 106th St, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Torrence Ave & 106th St, dtype: int64"
Clyde Ave & 87th St,41.737151,-87.57274,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Clyde Ave & 87th St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Clyde Ave & 87th St, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Clyde Ave & 87th St, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Clyde Ave & 87th St, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Clyde Ave & 87th St, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Clyde Ave & 87th St, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Clyde Ave & 87th St, dtype: int64"
Michigan Ave & 114th St,41.687014,-87.621052,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Michigan Ave & 114th St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Michigan Ave & 114th St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Michigan Ave & 114th St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Michigan Ave & 114th St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Michigan Ave & 114th St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Michigan Ave & 114th St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Michigan Ave & 114th St, dtype: int64"
Burnham Greenway & 105th St,41.704575,-87.528231,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Mon Oct  4 10:10:00 2021    7
Name: Burnham Greenway & 105th St, dtype: int64","Mon Oct  4 10:11:05 2021    7
Name: Burnham Greenway & 105th St, dtype: int64","Mon Oct  4 10:12:09 2021    7
Name: Burnham Greenway & 105th St, dtype: int64","Mon Oct  4 10:13:13 2021    7
Name: Burnham Greenway & 105th St, dtype: int64","Mon Oct  4 10:14:19 2021    7
Name: Burnham Greenway & 105th St, dtype: int64","Mon Oct  4 10:15:24 2021    7
Name: Burnham Greenway & 105th St, dtype: int64","Mon Oct  4 10:16:30 2021    7
Name: Burnham Greenway & 105th St, dtype: int64"
Halsted St & 111th St,41.692262,-87.642611,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Halsted St & 111th St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Halsted St & 111th St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Halsted St & 111th St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Halsted St & 111th St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Halsted St & 111th St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Halsted St & 111th St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Halsted St & 111th St, dtype: int64"
Wentworth Ave & 104th St,41.705307,-87.629216,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Mon Oct  4 10:10:00 2021    9
Name: Wentworth Ave & 104th St, dtype: int64","Mon Oct  4 10:11:05 2021    10
Name: Wentworth Ave & 104th St, dtype: int64","Mon Oct  4 10:12:09 2021    10
Name: Wentworth Ave & 104th St, dtype: int64","Mon Oct  4 10:13:13 2021    11
Name: Wentworth Ave & 104th St, dtype: int64","Mon Oct  4 10:14:19 2021    11
Name: Wentworth Ave & 104th St, dtype: int64","Mon Oct  4 10:15:24 2021    11
Name: Wentworth Ave & 104th St, dtype: int64","Mon Oct  4 10:16:30 2021    11
Name: Wentworth Ave & 104th St, dtype: int64"
Major Taylor Trail & 115th St,41.684931,-87.645288,11,11,11,11,11,9,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"Mon Oct  4 10:10:00 2021    11
Name: Major Taylor Trail & 115th St, dtype: int64","Mon Oct  4 10:11:05 2021    11
Name: Major Taylor Trail & 115th St, dtype: int64","Mon Oct  4 10:12:09 2021    11
Name: Major Taylor Trail & 115th St, dtype: int64","Mon Oct  4 10:13:13 2021    11
Name: Major Taylor Trail & 115th St, dtype: int64","Mon Oct  4 10:14:19 2021    11
Name: Major Taylor Trail & 115th St, dtype: int64","Mon Oct  4 10:15:24 2021    11
Name: Major Taylor Trail & 115th St, dtype: int64","Mon Oct  4 10:16:30 2021    11
Name: Major Taylor Trail & 115th St, dtype: int64"
State St & 123rd St,41.670643,-87.622586,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: State St & 123rd St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: State St & 123rd St, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: State St & 123rd St, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: State St & 123rd St, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: State St & 123rd St, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: State St & 123rd St, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: State St & 123rd St, dtype: int64"
Major Taylor Trail & 124th St,41.668696,-87.637113,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Major Taylor Trail & 124th St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Major Taylor Trail & 124th St, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Major Taylor Trail & 124th St, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Major Taylor Trail & 124th St, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Major Taylor Trail & 124th St, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Major Taylor Trail & 124th St, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Major Taylor Trail & 124th St, dtype: int64"
Eberhart Ave & 131st St,41.658413,-87.61071,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,"Mon Oct  4 10:10:00 2021    14
Name: Eberhart Ave & 131st St, dtype: int64","Mon Oct  4 10:11:05 2021    14
Name: Eberhart Ave & 131st St, dtype: int64","Mon Oct  4 10:12:09 2021    14
Name: Eberhart Ave & 131st St, dtype: int64","Mon Oct  4 10:13:13 2021    14
Name: Eberhart Ave & 131st St, dtype: int64","Mon Oct  4 10:14:19 2021    14
Name: Eberhart Ave & 131st St, dtype: int64","Mon Oct  4 10:15:24 2021    14
Name: Eberhart Ave & 131st St, dtype: int64","Mon Oct  4 10:16:30 2021    14
Name: Eberhart Ave & 131st St, dtype: int64"
Big Marsh Park,41.685877,-87.573823,9,9,9,9,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,9,9,10,9,10,9,9,10,10,10,10,10,10,10,10,9,9,"Mon Oct  4 10:10:00 2021    9
Name: Big Marsh Park, dtype: int64","Mon Oct  4 10:11:05 2021    9
Name: Big Marsh Park, dtype: int64","Mon Oct  4 10:12:09 2021    10
Name: Big Marsh Park, dtype: int64","Mon Oct  4 10:13:13 2021    10
Name: Big Marsh Park, dtype: int64","Mon Oct  4 10:14:19 2021    10
Name: Big Marsh Park, dtype: int64","Mon Oct  4 10:15:24 2021    10
Name: Big Marsh Park, dtype: int64","Mon Oct  4 10:16:30 2021    10
Name: Big Marsh Park, dtype: int64"
Ewing Ave & Burnham Greenway,41.712748,-87.534813,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Ewing Ave & Burnham Greenway, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Ewing Ave & Burnham Greenway, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Ewing Ave & Burnham Greenway, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Ewing Ave & Burnham Greenway, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Ewing Ave & Burnham Greenway, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Ewing Ave & Burnham Greenway, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Ewing Ave & Burnham Greenway, dtype: int64"
Avenue O & 118th St,41.681001,-87.537931,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Mon Oct  4 10:10:00 2021    7
Name: Avenue O & 118th St, dtype: int64","Mon Oct  4 10:11:05 2021    7
Name: Avenue O & 118th St, dtype: int64","Mon Oct  4 10:12:09 2021    7
Name: Avenue O & 118th St, dtype: int64","Mon Oct  4 10:13:13 2021    7
Name: Avenue O & 118th St, dtype: int64","Mon Oct  4 10:14:19 2021    7
Name: Avenue O & 118th St, dtype: int64","Mon Oct  4 10:15:24 2021    7
Name: Avenue O & 118th St, dtype: int64","Mon Oct  4 10:16:30 2021    7
Name: Avenue O & 118th St, dtype: int64"
Torrence Ave & 126th Pl,41.666312,-87.557215,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Mon Oct  4 10:10:00 2021    8
Name: Torrence Ave & 126th Pl, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: Torrence Ave & 126th Pl, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Torrence Ave & 126th Pl, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Torrence Ave & 126th Pl, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Torrence Ave & 126th Pl, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Torrence Ave & 126th Pl, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Torrence Ave & 126th Pl, dtype: int64"
Walden Pkwy & 100th St,41.712164,-87.667733,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Mon Oct  4 10:10:00 2021    7
Name: Walden Pkwy & 100th St, dtype: int64","Mon Oct  4 10:11:05 2021    7
Name: Walden Pkwy & 100th St, dtype: int64","Mon Oct  4 10:12:09 2021    7
Name: Walden Pkwy & 100th St, dtype: int64","Mon Oct  4 10:13:13 2021    7
Name: Walden Pkwy & 100th St, dtype: int64","Mon Oct  4 10:14:19 2021    7
Name: Walden Pkwy & 100th St, dtype: int64","Mon Oct  4 10:15:24 2021    7
Name: Walden Pkwy & 100th St, dtype: int64","Mon Oct  4 10:16:30 2021    7
Name: Walden Pkwy & 100th St, dtype: int64"
Commercial Ave & 130th St,41.65915,-87.550762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Commercial Ave & 130th St, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Commercial Ave & 130th St, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Commercial Ave & 130th St, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Commercial Ave & 130th St, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Commercial Ave & 130th St, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Commercial Ave & 130th St, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Commercial Ave & 130th St, dtype: int64"
Hale Ave & 107th St,41.699206,-87.668918,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Mon Oct  4 10:10:00 2021    5
Name: Hale Ave & 107th St, dtype: int64","Mon Oct  4 10:11:05 2021    5
Name: Hale Ave & 107th St, dtype: int64","Mon Oct  4 10:12:09 2021    5
Name: Hale Ave & 107th St, dtype: int64","Mon Oct  4 10:13:13 2021    5
Name: Hale Ave & 107th St, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: Hale Ave & 107th St, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: Hale Ave & 107th St, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: Hale Ave & 107th St, dtype: int64"
